Year,Confession,District,Population
2009,Greek Orthodox,Bcharry,220
2009,Greek Catholic,Bcharry,102
2009,Evangelical,Bcharry,0
2009,Druze,Bcharry,0
2009,Armenian Orthodox,Bcharry,25
2009,Armenian Catholic,Bcharry,0
2009,Alawite,Bcharry,0
2009,Sunni,Tripoli,157634
2009,Shia,Tripoli,1539
2009,Minorities,Tripoli,885
2009,Maronite,Tripoli,4339
2009,Greek Orthodox,Tripoli,12432
2009,Greek Catholic,Tripoli,1281
2009,Evangelical,Tripoli,460
2009,Druze,Tripoli,22
2009,Armenian Orthodox,Tripoli,1924
2009,Armenian Catholic,Tripoli,352
2009,Alawite,Tripoli,15224
2009,Sunni,Baalbek,33845
2009,Shia,Baalbek,184414
2009,Minorities,Baalbek,63
2009,Maronite,Baalbek,20084
2009,Greek Orthodox,Baalbek,2063
2009,Greek Catholic,Baalbek,14922
2009,Evangelical,Baalbek,35
2009,Druze,Baalbek,1
2009,Armenian Orthodox,Baalbek,136
2009,Armenian Catholic,Baalbek,4
2009,Alawite,Baalbek,84
2009,Sunni,WestBekaa.Rachaya,57751
2009,Shia,WestBekaa.Rachaya,16997
2009,Minorities,WestBekaa.Rachaya,153
2009,Maronite,WestBekaa.Rachaya,9493
2009,Greek Orthodox,WestBekaa.Rachaya,9634
2009,Greek Catholic,WestBekaa.Rachaya,10055
2009,Evangelical,WestBekaa.Rachaya,380
2009,Druze,WestBekaa.Rachaya,17949
2009,Armenian Orthodox,WestBekaa.Rachaya,28
2009,Armenian Catholic,WestBekaa.Rachaya,46
2009,Alawite,WestBekaa.Rachaya,0
2009,Sunni,Zahle,41936
2009,Shia,Zahle,23587
2009,Minorities,Zahle,7112
2009,Maronite,Zahle,25838
2009,Greek Orthodox,Zahle,15506
2009,Greek Catholic,Zahle,30919
2009,Evangelical,Zahle,727
2009,Druze,Zahle,817
2009,Armenian Orthodox,Zahle,8993
2009,Armenian Catholic,Zahle,2591
2009,Alawite,Zahle,9
2009,Sunni,Chouf,51417
2009,Shia,Chouf,3831
2009,Minorities,Chouf,142
2009,Maronite,Chouf,54056
2009,Greek Orthodox,Chouf,822
2009,Greek Catholic,Chouf,12791
2009,Evangelical,Chouf,653
2009,Druze,Chouf,58057
2009,Armenian Orthodox,Chouf,47
2009,Armenian Catholic,Chouf,50
2009,Alawite,Chouf,0
2009,Sunni,Matn,2836
2009,Shia,Matn,4417
2009,Minorities,Matn,7744
2009,Maronite,Matn,76187
2009,Greek Orthodox,Matn,24860
2009,Greek Catholic,Matn,16631
2009,Evangelical,Matn,1164
2009,Druze,Matn,2240
2009,Armenian Orthodox,Matn,25819
2009,Armenian Catholic,Matn,8591
2009,Alawite,Matn,199
2009,Sunni,Baabda,8728
2009,Shia,Baabda,35414
2009,Minorities,Baabda,2352
2009,Maronite,Baabda,57280
2009,Greek Orthodox,Baabda,11460
2009,Greek Catholic,Baabda,7721
2009,Evangelical,Baabda,488
2009,Druze,Baabda,25963
2009,Armenian Orthodox,Baabda,1451
2009,Armenian Catholic,Baabda,705
2009,Alawite,Baabda,12
2009,Sunni,Jbeil,1894
2009,Shia,Jbeil,14625
2009,Minorities,Jbeil,179
2009,Maronite,Jbeil,54581
2009,Greek Orthodox,Jbeil,2536
2009,Greek Catholic,Jbeil,501
2009,Evangelical,Jbeil,107
2009,Druze,Jbeil,0
2009,Armenian Orthodox,Jbeil,1041
2009,Armenian Catholic,Jbeil,44
2009,Alawite,Jbeil,4
2009,Sunni,Aley,1559
2009,Shia,Aley,3481
2009,Minorities,Aley,616
2009,Maronite,Aley,28418
2009,Greek Orthodox,Aley,15154
2009,Greek Catholic,Aley,3888
2009,Evangelical,Aley,852
2009,Druze,Aley,61339
2009,Armenian Orthodox,Aley,648
2009,Armenian Catholic,Aley,174
2009,Alawite,Aley,0
2009,Sunni,Kesrwan,330
2009,Shia,Kesrwan,1465
2009,Minorities,Kesrwan,1420
2009,Maronite,Kesrwan,79221
2009,Greek Orthodox,Kesrwan,1126
2009,Greek Catholic,Kesrwan,3041
2009,Evangelical,Kesrwan,102
2009,Druze,Kesrwan,5
2009,Armenian Orthodox,Kesrwan,1519
2009,Armenian Catholic,Kesrwan,745
2009,Alawite,Kesrwan,9
2009,Sunni,Jezzine,960
2009,Shia,Jezzine,10828
2009,Minorities,Jezzine,39
2009,Maronite,Jezzine,33483
2009,Greek Orthodox,Jezzine,91
2009,Greek Catholic,Jezzine,8219
2009,Evangelical,Jezzine,19
2009,Druze,Jezzine,506
2009,Armenian Orthodox,Jezzine,26
2009,Armenian Catholic,Jezzine,16
2009,Alawite,Jezzine,0
2009,Sunni,Tyr,12352
2009,Shia,Tyr,129661
2009,Minorities,Tyr,227
2009,Maronite,Tyr,2194
2009,Greek Orthodox,Tyr,492
2009,Greek Catholic,Tyr,6574
2009,Evangelical,Tyr,273
2009,Druze,Tyr,3
2009,Armenian Orthodox,Tyr,1017
2009,Armenian Catholic,Tyr,263
2009,Alawite,Tyr,0
2009,Sunni,Saida,45345
2009,Shia,Saida,4753
2009,Minorities,Saida,160
2009,Maronite,Saida,1287
2009,Greek Orthodox,Saida,201
2009,Greek Catholic,Saida,1727
2009,Evangelical,Saida,124
2009,Druze,Saida,36
2009,Armenian Orthodox,Saida,201
2009,Armenian Catholic,Saida,23
2009,Alawite,Saida,0
2009,Sunni,Nabatiyeh,1010
2009,Shia,Nabatiyeh,116044
2009,Minorities,Nabatiyeh,4
2009,Maronite,Nabatiyeh,3685
2009,Greek Orthodox,Nabatiyeh,43
2009,Greek Catholic,Nabatiyeh,1072
2009,Evangelical,Nabatiyeh,0
2009,Druze,Nabatiyeh,27
2009,Armenian Orthodox,Nabatiyeh,9
2009,Armenian Catholic,Nabatiyeh,9
2009,Alawite,Nabatiyeh,7
2009,Sunni,Bent.Jbel,191
2009,Shia,Bent.Jbel,108407
2009,Minorities,Bent.Jbel,1
2009,Maronite,Bent.Jbel,11660
2009,Greek Orthodox,Bent.Jbel,4
2009,Greek Catholic,Bent.Jbel,3020
2009,Evangelical,Bent.Jbel,42
2009,Druze,Bent.Jbel,1
2009,Armenian Orthodox,Bent.Jbel,47
2009,Armenian Catholic,Bent.Jbel,21
2009,Alawite,Bent.Jbel,0
2009,Sunni,Marjayoun.Hasbaya,23336
2009,Shia,Marjayoun.Hasbaya,78725
2009,Minorities,Marjayoun.Hasbaya,300
2009,Maronite,Marjayoun.Hasbaya,6358
2009,Greek Orthodox,Marjayoun.Hasbaya,10785
2009,Greek Catholic,Marjayoun.Hasbaya,3644
2009,Evangelical,Marjayoun.Hasbaya,1254
2009,Druze,Marjayoun.Hasbaya,14333
2009,Armenian Orthodox,Marjayoun.Hasbaya,61
2009,Armenian Catholic,Marjayoun.Hasbaya,30
2009,Alawite,Marjayoun.Hasbaya,0
2009,Sunni,Beirut,199858
2009,Shia,Beirut,63928
2009,Minorities,Beirut,21612
2009,Maronite,Beirut,24700
2009,Greek Orthodox,Beirut,42365
2009,Greek Catholic,Beirut,19688
2009,Evangelical,Beirut,4225
2009,Druze,Beirut,5154
2009,Armenian Orthodox,Beirut,47912
2009,Armenian Catholic,Beirut,11761
2009,Alawite,Beirut,122
2013,Sunni,Zgharta,9054
2013,Shia,Zgharta,141
2013,Minorities,Zgharta,427
2013,Maronite,Zgharta,58749
2013,Greek Orthodox,Zgharta,4177
2013,Greek Catholic,Zgharta,822
2013,Evangelical,Zgharta,87
2013,Druze,Zgharta,7
2013,Armenian Orthodox,Zgharta,124
2013,Armenian Catholic,Zgharta,162
2013,Alawite,Zgharta,67
2013,Sunni,Akkar,165787
2013,Shia,Akkar,2915
2013,Minorities,Akkar,881
2013,Maronite,Akkar,29259
2013,Greek Orthodox,Akkar,36407
2013,Greek Catholic,Akkar,3242
2013,Evangelical,Akkar,781
2013,Druze,Akkar,11
2013,Armenian Orthodox,Akkar,158
2013,Armenian Catholic,Akkar,64
2013,Alawite,Akkar,12182
2013,Sunni,Batroun,3462
2013,Shia,Batroun,952
2013,Minorities,Batroun,755
2013,Maronite,Batroun,40420
2013,Greek Orthodox,Batroun,9825
2013,Greek Catholic,Batroun,1940
2013,Evangelical,Batroun,62
2013,Druze,Batroun,7
2013,Armenian Orthodox,Batroun,253
2013,Armenian Catholic,Batroun,99
2013,Alawite,Batroun,45
2013,Sunni,Koura,7942
2013,Shia,Koura,1145
2013,Minorities,Koura,531
2013,Maronite,Koura,12516
2013,Greek Orthodox,Koura,34699
2013,Greek Catholic,Koura,685
2013,Evangelical,Koura,223
2013,Druze,Koura,9
2013,Armenian Orthodox,Koura,104
2013,Armenian Catholic,Koura,27
2013,Alawite,Koura,452
2013,Sunni,Minniye.Danniyeh,91496
2013,Shia,Minniye.Danniyeh,276
2013,Minorities,Minniye.Danniyeh,443
2013,Maronite,Minniye.Danniyeh,7000
2013,Greek Orthodox,Minniye.Danniyeh,7740
2013,Greek Catholic,Minniye.Danniyeh,168
2013,Evangelical,Minniye.Danniyeh,39
2013,Druze,Minniye.Danniyeh,2
2013,Armenian Orthodox,Minniye.Danniyeh,17
2013,Armenian Catholic,Minniye.Danniyeh,6
2013,Alawite,Minniye.Danniyeh,65
2013,Sunni,Bcharry,93
2013,Shia,Bcharry,22
2013,Minorities,Bcharry,382
2013,Maronite,Bcharry,45055
2013,Greek Orthodox,Bcharry,1280
2013,Greek Catholic,Bcharry,521
2013,Evangelical,Bcharry,54
2013,Druze,Bcharry,0
2013,Armenian Orthodox,Bcharry,73
2013,Armenian Catholic,Bcharry,21
2013,Alawite,Bcharry,7
2013,Sunni,Tripoli,167599
2013,Shia,Tripoli,2579
2013,Minorities,Tripoli,2201
2013,Maronite,Tripoli,5166
2013,Greek Orthodox,Tripoli,11929
2013,Greek Catholic,Tripoli,1456
2013,Evangelical,Tripoli,479
2013,Druze,Tripoli,34
2013,Armenian Orthodox,Tripoli,1783
2013,Armenian Catholic,Tripoli,266
2013,Alawite,Tripoli,14565
2013,Sunni,Baalbek,40136
2013,Shia,Baalbek,204300
2013,Minorities,Baalbek,1409
2013,Maronite,Baalbek,21666
2013,Greek Orthodox,Baalbek,2644
2013,Greek Catholic,Baalbek,14921
2013,Evangelical,Baalbek,98
2013,Druze,Baalbek,31
2013,Armenian Orthodox,Baalbek,210
2013,Armenian Catholic,Baalbek,45
2013,Alawite,Baalbek,107
2013,Sunni,WestBekaa.Rachaya,62695
2013,Shia,WestBekaa.Rachaya,18763
2013,Minorities,WestBekaa.Rachaya,736
2013,Maronite,WestBekaa.Rachaya,10335
2013,Greek Orthodox,WestBekaa.Rachaya,9760
